thermal_zone_1_zone_air_temp,thermal_zone_2_zone_air_temp,thermal_zone_3_zone_air_temp,thermal_zone_4_zone_air_temp,thermal_zone_5_zone_air_temp
22.77777778,23.33333333,22.77777778,22.22222222,28.33333333
22.77777778,23.33333333,22.22222222,22.22222222,27.77777778
22.22222222,22.77777778,22.22222222,22.22222222,27.22222222
21.11111111,22.22222222,21.66666667,21.66666667,26.11111111
20.55555556,21.66666667,21.66666667,21.66666667,24.44444444
18.33333333,18.88888889,19.44444444,17.77777778,22.77777778
17.22222222,17.77777778,18.33333333,17.22222222,21.66666667
16.66666667,17.22222222,17.77777778,17.22222222,20
17.22222222,17.77777778,18.33333333,17.77777778,20
15.55555556,17.22222222,17.22222222,17.22222222,20.55555556
16.66666667,17.77777778,17.77777778,17.22222222,20.55555556
16.66666667,17.77777778,17.77777778,17.77777778,19.44444444
16.66666667,17.77777778,17.77777778,17.77777778,18.88888889
17.22222222,17.77777778,18.33333333,17.77777778,19.44444444
17.22222222,17.77777778,17.77777778,17.77777778,21.11111111
20,20,20.55555556,20,23.33333333
20,20.55555556,21.11111111,20.55555556,24.44444444
20.55555556,21.11111111,22.22222222,21.66666667,25.55555556
21.66666667,22.77777778,22.22222222,21.66666667,26.66666667
21.66666667,23.33333333,22.22222222,21.66666667,27.22222222
21.66666667,23.33333333,22.22222222,21.66666667,26.66666667
22.22222222,23.33333333,22.22222222,21.66666667,27.22222222
22.22222222,23.33333333,22.22222222,22.22222222,27.22222222
22.77777778,23.33333333,22.77777778,22.22222222,27.77777778
23.33333333,23.88888889,23.33333333,22.77777778,27.77777778
23.33333333,24.44444444,23.33333333,22.77777778,28.33333333
22.77777778,23.88888889,22.77777778,22.22222222,27.77777778
21.66666667,23.33333333,22.22222222,21.66666667,27.22222222
20.55555556,21.66666667,21.11111111,20,25
19.44444444,20.55555556,20,19.44444444,23.88888889
19.44444444,20,20.55555556,20.55555556,22.77777778
20,20,20.55555556,20.55555556,22.22222222
19.44444444,19.44444444,20.55555556,20.55555556,21.66666667
20,20,21.11111111,20.55555556,21.66666667
19.44444444,18.88888889,20,20,22.22222222
19.44444444,19.44444444,20.55555556,20.55555556,21.66666667
19.44444444,18.88888889,20.55555556,20.55555556,21.11111111
19.44444444,19.44444444,20.55555556,20.55555556,20.55555556
20,20,20.55555556,20.55555556,21.66666667
22.22222222,22.22222222,22.77777778,22.22222222,24.44444444
22.22222222,22.77777778,22.77777778,22.22222222,25.55555556
22.77777778,23.33333333,23.33333333,22.77777778,27.22222222
22.77777778,23.33333333,23.33333333,22.77777778,27.77777778
22.77777778,23.33333333,23.33333333,22.77777778,28.33333333
22.77777778,23.88888889,23.33333333,22.77777778,28.88888889
23.33333333,23.88888889,23.33333333,22.77777778,28.88888889
22.77777778,23.88888889,23.33333333,22.22222222,28.33333333
23.88888889,23.88888889,22.77777778,22.77777778,28.88888889
23.33333333,23.33333333,23.33333333,22.77777778,29.44444444
23.33333333,23.33333333,22.77777778,22.77777778,28.33333333
23.33333333,23.33333333,23.33333333,22.77777778,27.77777778
22.22222222,22.77777778,22.77777778,22.22222222,26.66666667
21.66666667,22.22222222,21.66666667,21.11111111,25.55555556
21.11111111,21.66666667,21.11111111,20.55555556,24.44444444
22.22222222,21.66666667,21.66666667,21.11111111,23.88888889
21.66666667,21.11111111,21.66666667,21.11111111,23.33333333
21.66666667,21.66666667,21.66666667,21.66666667,22.77777778
21.11111111,21.11111111,21.11111111,20.55555556,24.44444444
21.66666667,21.66666667,21.66666667,21.11111111,24.44444444
21.11111111,21.11111111,21.66666667,21.11111111,23.33333333
21.66666667,21.66666667,21.66666667,21.66666667,23.33333333
21.11111111,21.11111111,21.66666667,21.66666667,23.33333333
21.11111111,21.66666667,21.66666667,21.66666667,23.88888889
21.66666667,22.22222222,21.66666667,21.66666667,25.55555556
22.77777778,23.33333333,22.77777778,22.22222222,26.66666667
23.88888889,24.44444444,23.88888889,23.33333333,27.22222222
25,25,24.44444444,24.44444444,28.33333333
25,25.55555556,24.44444444,24.44444444,29.44444444
25.55555556,25.55555556,25,24.44444444,29.44444444
25.55555556,26.66666667,25,25,28.88888889
25,26.11111111,25,24.44444444,28.33333333
25,25.55555556,25,23.88888889,28.88888889
24.44444444,25.55555556,24.44444444,23.88888889,28.88888889
24.44444444,25,23.88888889,23.33333333,28.33333333
23.33333333,24.44444444,23.33333333,22.77777778,28.33333333
21.66666667,22.77777778,22.22222222,21.11111111,26.66666667
20.55555556,21.11111111,20.55555556,20,25
20,20.55555556,20.55555556,19.44444444,23.33333333
20.55555556,20.55555556,20.55555556,20,22.77777778
20.55555556,20.55555556,20.55555556,20,22.22222222
20.55555556,20.55555556,20.55555556,20,22.77777778
20,20.55555556,20.55555556,20.55555556,23.33333333
20,20.55555556,20.55555556,20,22.22222222
20,20.55555556,20.55555556,20.55555556,21.66666667
20,20.55555556,20.55555556,20,21.66666667
20,20,20.55555556,20,21.11111111
20,20.55555556,20.55555556,20.55555556,21.66666667
21.66666667,22.22222222,22.22222222,22.22222222,24.44444444
20.55555556,21.66666667,21.66666667,21.11111111,25
21.11111111,21.66666667,21.66666667,21.11111111,25
21.11111111,22.22222222,21.66666667,21.11111111,26.66666667
20.55555556,21.66666667,21.66666667,20.55555556,26.11111111
20.55555556,21.66666667,21.66666667,21.11111111,26.11111111
21.11111111,22.22222222,22.22222222,21.66666667,26.11111111
21.11111111,22.22222222,21.66666667,21.11111111,26.66666667
21.66666667,22.77777778,22.22222222,21.11111111,26.66666667
22.22222222,22.77777778,22.22222222,21.66666667,27.77777778
22.22222222,23.33333333,22.22222222,21.66666667,27.77777778
21.66666667,22.77777778,21.66666667,21.11111111,26.66666667
20.55555556,21.66666667,21.11111111,20.55555556,25.55555556
19.44444444,20.55555556,20,18.88888889,24.44444444
18.88888889,19.44444444,18.88888889,17.77777778,22.77777778
18.88888889,19.44444444,18.88888889,17.77777778,22.22222222
18.88888889,18.88888889,18.88888889,17.77777778,21.66666667
18.88888889,19.44444444,18.88888889,18.33333333,21.11111111
18.88888889,19.44444444,18.88888889,18.33333333,23.33333333
18.88888889,19.44444444,18.88888889,18.33333333,22.77777778
18.33333333,18.88888889,18.88888889,18.33333333,21.66666667
18.88888889,19.44444444,19.44444444,18.88888889,21.11111111
18.88888889,19.44444444,18.88888889,18.88888889,20.55555556
18.88888889,19.44444444,18.88888889,18.33333333,21.66666667
20.55555556,21.11111111,20.55555556,20.55555556,23.33333333
20.55555556,21.66666667,21.11111111,21.11111111,24.44444444
21.66666667,22.77777778,22.22222222,21.66666667,26.11111111
22.22222222,22.77777778,22.22222222,21.66666667,26.66666667
21.66666667,22.77777778,22.22222222,21.66666667,27.77777778
21.66666667,22.77777778,22.22222222,21.66666667,26.66666667
22.22222222,22.77777778,22.22222222,21.66666667,26.66666667
22.22222222,23.33333333,22.22222222,21.66666667,27.77777778
22.77777778,23.88888889,22.77777778,22.22222222,27.22222222
23.33333333,24.44444444,23.33333333,22.22222222,28.33333333
22.77777778,23.88888889,22.22222222,22.22222222,27.77777778
22.22222222,23.33333333,22.22222222,21.66666667,27.22222222
21.66666667,22.22222222,21.66666667,21.66666667,25
19.44444444,20,20,19.44444444,22.22222222
19.44444444,20,19.44444444,19.44444444,18.88888889
19.44444444,20,19.44444444,19.44444444,16.66666667
18.33333333,18.88888889,18.33333333,17.22222222,17.77777778
17.77777778,17.77777778,17.22222222,16.66666667,17.77777778
20,20,20,19.44444444,20
17.77777778,17.77777778,17.77777778,17.22222222,20
17.22222222,17.22222222,17.22222222,16.66666667,18.88888889
17.22222222,16.66666667,17.22222222,17.22222222,17.77777778
17.77777778,16.66666667,17.77777778,17.22222222,17.77777778
17.77777778,17.22222222,18.33333333,17.77777778,18.88888889
20,19.44444444,20.55555556,20.55555556,21.66666667
21.11111111,21.66666667,21.66666667,21.66666667,23.33333333
21.11111111,22.22222222,21.66666667,21.66666667,23.88888889
21.66666667,22.77777778,22.22222222,21.66666667,25.55555556
21.66666667,22.77777778,21.66666667,21.66666667,26.66666667
22.22222222,23.33333333,22.77777778,22.22222222,26.66666667
21.66666667,22.77777778,22.22222222,21.66666667,26.66666667
22.22222222,23.33333333,22.77777778,22.22222222,26.11111111
22.22222222,23.33333333,22.22222222,22.22222222,26.66666667
22.77777778,23.88888889,22.77777778,22.22222222,27.22222222
22.77777778,23.88888889,22.77777778,22.22222222,26.66666667
21.66666667,22.77777778,22.22222222,21.66666667,26.66666667
22.22222222,22.22222222,22.77777778,22.22222222,25.55555556
20.55555556,21.11111111,20.55555556,20.55555556,23.88888889
20,20.55555556,20,19.44444444,22.77777778
20,20.55555556,20.55555556,20,22.22222222
20,20.55555556,20,19.44444444,21.66666667
19.44444444,20.55555556,20,20,21.11111111
19.44444444,20.55555556,20,19.44444444,22.77777778
19.44444444,20.55555556,20,19.44444444,22.22222222
19.44444444,20.55555556,20,19.44444444,21.66666667
19.44444444,20,20,20,21.11111111
20,20.55555556,20.55555556,20.55555556,21.11111111
20,20,20.55555556,20.55555556,21.11111111
20.55555556,21.66666667,21.66666667,21.66666667,23.33333333
20.55555556,21.66666667,21.11111111,21.11111111,25
21.66666667,22.22222222,21.66666667,21.66666667,26.11111111
22.77777778,23.33333333,22.22222222,22.22222222,27.22222222
22.22222222,23.33333333,22.22222222,22.22222222,27.77777778
22.22222222,23.33333333,22.22222222,22.22222222,27.22222222
22.22222222,23.33333333,22.22222222,22.22222222,27.22222222
22.22222222,23.33333333,22.22222222,22.22222222,27.77777778
22.22222222,23.33333333,22.22222222,22.22222222,28.33333333
22.22222222,23.33333333,22.22222222,22.22222222,28.88888889
22.22222222,23.33333333,22.22222222,22.22222222,28.88888889
22.22222222,23.33333333,22.22222222,22.22222222,28.33333333
22.22222222,23.33333333,22.22222222,22.22222222,27.77777778
22.22222222,23.33333333,22.22222222,22.22222222,26.11111111
22.22222222,23.33333333,22.22222222,22.22222222,24.44444444
22.22222222,23.33333333,22.22222222,22.22222222,22.77777778
22.22222222,23.33333333,22.22222222,22.22222222,22.22222222
22.22222222,23.33333333,22.22222222,22.22222222,21.66666667
22.22222222,23.33333333,22.22222222,22.22222222,21.66666667
22.22222222,23.33333333,22.22222222,22.22222222,22.22222222
22.22222222,23.33333333,22.22222222,22.22222222,21.66666667
22.22222222,23.33333333,22.22222222,22.22222222,21.11111111
22.22222222,23.33333333,22.22222222,22.22222222,20.55555556
22.22222222,23.33333333,22.22222222,22.22222222,20.55555556
22.22222222,23.33333333,22.22222222,22.22222222,20.55555556
22.22222222,23.33333333,22.22222222,22.22222222,20.55555556
22.22222222,23.33333333,22.22222222,22.22222222,20.55555556
22.22222222,23.33333333,22.22222222,22.22222222,20.55555556
22.22222222,23.33333333,22.22222222,22.22222222,27.22222222
22.22222222,23.33333333,22.22222222,22.22222222,27.77777778
22.22222222,23.33333333,22.22222222,22.22222222,27.77777778
22.22222222,23.33333333,22.22222222,22.22222222,27.77777778
22.22222222,23.33333333,22.22222222,22.22222222,27.22222222
22.22222222,23.33333333,22.22222222,22.22222222,27.22222222
22.22222222,23.33333333,22.22222222,22.22222222,26.11111111
22.22222222,23.33333333,22.22222222,22.22222222,27.22222222
22.22222222,23.33333333,22.22222222,22.22222222,26.11111111
22.22222222,23.33333333,22.22222222,22.22222222,23.88888889
22.22222222,23.33333333,22.22222222,22.22222222,23.33333333
22.22222222,23.33333333,22.22222222,22.22222222,22.77777778
22.22222222,23.33333333,22.22222222,22.22222222,22.22222222
22.22222222,23.33333333,22.22222222,22.22222222,21.66666667
22.22222222,23.33333333,22.22222222,22.22222222,23.33333333
22.22222222,23.33333333,22.22222222,22.22222222,22.22222222
22.22222222,23.33333333,22.22222222,22.22222222,21.66666667
22.22222222,23.33333333,22.22222222,22.22222222,21.11111111
22.22222222,23.33333333,22.22222222,22.22222222,20.55555556
22.22222222,23.33333333,22.22222222,22.22222222,22.22222222
22.22222222,23.33333333,22.22222222,22.22222222,24.44444444
22.22222222,23.33333333,22.22222222,22.22222222,25
22.22222222,23.33333333,22.22222222,22.22222222,25.55555556
22.22222222,23.33333333,22.22222222,22.22222222,27.77777778
22.22222222,23.33333333,22.22222222,22.22222222,27.77777778
22.22222222,23.33333333,22.22222222,22.22222222,28.33333333
22.22222222,23.33333333,22.22222222,22.22222222,27.77777778
22.22222222,23.33333333,22.22222222,22.22222222,27.22222222
22.22222222,23.33333333,22.22222222,22.22222222,27.22222222
22.22222222,23.33333333,22.22222222,22.22222222,27.22222222
22.22222222,23.33333333,22.22222222,22.22222222,27.22222222
22.22222222,23.33333333,22.22222222,22.22222222,27.22222222
22.22222222,23.33333333,22.22222222,22.22222222,24.44444444
22.22222222,23.33333333,22.22222222,22.22222222,23.33333333
22.22222222,23.33333333,22.22222222,22.22222222,22.22222222
22.22222222,23.33333333,22.22222222,22.22222222,21.66666667
22.22222222,23.33333333,22.22222222,22.22222222,21.11111111
22.22222222,23.33333333,22.22222222,22.22222222,21.11111111
22.22222222,23.33333333,22.22222222,22.22222222,22.22222222
22.22222222,23.33333333,22.22222222,22.22222222,21.66666667
22.22222222,23.33333333,22.22222222,22.22222222,20.55555556
22.22222222,23.33333333,22.22222222,22.22222222,20.55555556
22.22222222,23.33333333,22.22222222,22.22222222,20
22.22222222,23.33333333,22.22222222,22.22222222,21.11111111
22.22222222,23.33333333,22.22222222,22.22222222,22.22222222
22.22222222,23.33333333,22.22222222,22.22222222,22.22222222
22.22222222,23.33333333,22.22222222,22.22222222,22.22222222
22.22222222,23.33333333,22.22222222,22.22222222,22.22222222
22.22222222,23.33333333,22.22222222,22.22222222,22.22222222
22.22222222,23.33333333,22.22222222,22.22222222,22.22222222
22.22222222,23.33333333,22.22222222,22.22222222,22.22222222
22.22222222,23.33333333,22.22222222,22.22222222,22.22222222
22.22222222,23.33333333,22.22222222,22.22222222,22.22222222
22.22222222,23.33333333,22.22222222,22.22222222,22.22222222
22.22222222,23.33333333,22.22222222,22.22222222,22.22222222
22.22222222,23.33333333,22.22222222,22.22222222,22.22222222
22.22222222,23.33333333,22.22222222,22.22222222,22.22222222
22.22222222,23.33333333,22.22222222,22.22222222,22.22222222
22.22222222,23.33333333,22.22222222,22.22222222,22.22222222
22.22222222,23.33333333,22.22222222,22.22222222,22.22222222
22.22222222,23.33333333,22.22222222,22.22222222,22.22222222
22.22222222,23.33333333,22.22222222,22.22222222,22.22222222
22.22222222,23.33333333,22.22222222,22.22222222,22.22222222
22.22222222,23.33333333,22.22222222,22.22222222,22.22222222
22.22222222,23.33333333,22.22222222,22.22222222,22.22222222
22.22222222,23.33333333,22.22222222,22.22222222,22.22222222
22.22222222,23.33333333,22.22222222,22.22222222,22.22222222
22.22222222,23.33333333,22.22222222,22.22222222,22.22222222
22.22222222,23.33333333,22.22222222,22.22222222,22.22222222
22.22222222,23.33333333,22.22222222,22.22222222,22.22222222
22.22222222,23.33333333,22.22222222,22.22222222,22.22222222
22.22222222,23.33333333,22.22222222,22.22222222,22.22222222
22.22222222,23.33333333,22.22222222,22.22222222,27.77777778
22.22222222,23.33333333,22.22222222,22.22222222,27.77777778
22.22222222,23.33333333,22.22222222,22.22222222,27.77777778
22.22222222,23.33333333,22.22222222,22.22222222,28.33333333
22.22222222,23.33333333,22.22222222,22.22222222,28.33333333
22.22222222,23.33333333,22.22222222,22.22222222,28.33333333
22.22222222,23.33333333,22.22222222,22.22222222,28.33333333
22.22222222,24.44444444,22.22222222,22.22222222,27.77777778
22.22222222,22.22222222,22.22222222,22.22222222,26.11111111
22.22222222,22.22222222,22.22222222,22.22222222,23.88888889
22.22222222,22.22222222,22.22222222,22.22222222,23.33333333
22.22222222,18.88888889,22.22222222,22.22222222,22.22222222
22.22222222,18.88888889,22.22222222,22.22222222,21.66666667
22.22222222,18.88888889,22.22222222,22.22222222,21.11111111
22.22222222,19.44444444,22.22222222,22.22222222,22.77777778
22.22222222,19.44444444,22.22222222,22.22222222,22.22222222
22.22222222,19.44444444,22.22222222,22.22222222,22.22222222
22.22222222,19.44444444,22.22222222,22.22222222,21.11111111
22.22222222,19.44444444,22.22222222,22.22222222,20.55555556
22.22222222,18.88888889,22.22222222,22.22222222,21.66666667
22.22222222,19.44444444,22.22222222,22.22222222,22.77777778
20.55555556,19.44444444,22.22222222,22.22222222,24.44444444
20.55555556,19.44444444,22.22222222,22.22222222,25.55555556
21.11111111,21.66666667,22.22222222,22.22222222,25.55555556
21.11111111,21.66666667,22.22222222,22.22222222,26.11111111
21.11111111,21.66666667,22.22222222,22.22222222,26.11111111
21.11111111,21.66666667,22.22222222,22.22222222,25.55555556
21.11111111,21.66666667,22.22222222,22.22222222,26.66666667
21.11111111,21.66666667,22.22222222,22.22222222,27.22222222
22.77777778,21.66666667,22.22222222,22.22222222,27.22222222
22.77777778,21.66666667,22.22222222,22.22222222,27.22222222
22.77777778,21.66666667,22.22222222,22.22222222,26.11111111
22.77777778,21.11111111,22.22222222,22.22222222,25.55555556
20.55555556,21.11111111,22.22222222,22.22222222,23.88888889
20,20.55555556,22.22222222,22.22222222,22.77777778
18.88888889,19.44444444,22.22222222,22.22222222,21.66666667
18.33333333,18.88888889,22.22222222,22.22222222,20.55555556
17.77777778,18.88888889,22.22222222,22.22222222,20.55555556
17.77777778,18.88888889,22.22222222,22.22222222,21.11111111
17.77777778,18.88888889,22.22222222,22.22222222,21.11111111
17.77777778,18.88888889,22.22222222,22.22222222,20.55555556
